order_id,line_item_id,timestamp,store,product_id,product_name,category,gender,unit_price,original_unit_price,on_offer,quantity,line_total,payment_method
BUG-20260603-0161,1,2026-06-03 14:20:57,Bugis,SOK-M-01,Men's Ankle Socks 3-Pack,Socks,Men,14.9,14.9,False,1,14.9,CASH
ORC-20260603-0181,1,2026-06-03 17:16:31,Orchard Central,BTM-M-03,  Men's Selvedge Regular Fit Jeans  ,Bottoms,Men,59.9,59.9,False,1,59.9,NETS
ORC-20260603-0952,1,2026-06-03 19:44:09,Orchard Central,TOP-M-03,Men's Dry-EX Crew Neck T-Shirt,Tops,Men,19.9,19.9,False,1,19.9,Card
ORC-20260603-1018,3,2026-06-03 21:59:29,Orchard Central,SOK-W-02,  Women's Pile Crew Socks  ,Socks,Women,5.9,5.9,False,1,5.9,PayNow
ORC-20260603-0988,1,2026-06-03 21:13:33,orchard central,BTM-M-09,Men's Linen Blend Trousers,Bottoms,Men,$39.9,39.9,False,1,39.9,Card
ORC-20260603-1057,2,2026-06-03 19:11:40,Orchard Central,SOK-W-02,Women's Pile Crew Socks,SOCKS,Women,5.9,5.9,False,1,5.9,Cash
PUN-20260603-0369,2,2026-06-03 20:06:15,Punggol,UND-W-04,Women's Airism T-Shirt Bra,Underwear,WOMEN,29.9,29.9,False,1,29.9,Card
BUG-20260603-0858,2,2026-06-03 15:34:09,BUGIS,SOK-W-02,Women's Pile Crew Socks,Socks,Women,5.9,5.9,False,1,$5.9,CARD
ORC-20260603-0291,1,2026-06-03 16:22:13,Orchard Central,SOK-W-02,Women's Pile Crew Socks,SOCKS,WOMEN,5.9,5.9,False,1,5.9,Cash
BUG-20260603-0609,2,2026-06-03 20:59:47,Bugis,TOP-W-01,Women's Airism Cotton Crew Neck T-Shirt,Tops,Women,14.9,14.9,False,1,14.9,NETS
BUG-20260603-0105,3,2026-06-03 17:28:40,Bugis,SOK-M-03,Men's Airism Low-Cut Socks,Socks,MEN,5.9,5.9,False,1,$5.9,PayNow
BUG-20260603-0080,2,2026-06-03 19:31:40,Bugis,UND-W-02,Women's Wireless Bra,Underwear,Women,29.9,29.9,False,1,29.9,NETS
ORC-20260603-0543,3,2026-06-03 17:18:10,Orchard Central,UND-M-04,Men's Cotton Crew Neck Undershirt,Underwear,Men,14.9,14.9,False,1,14.9,PayNow
ORC-20260603-0166,1,2026-06-03 20:52:43,Orchard Central,SOK-M-01,Men's Ankle Socks 3-Pack,Socks,Men,14.9,14.9,False,1,14.9,Card
BUG-20260603-0299,2,2026-06-03 14:31:05,Bugis,SOK-W-02,Women's Pile Crew Socks,SOCKS,Women,5.9,5.9,False,1,$5.9,PayNow
ORC-20260603-1025,1,2026-06-03 16:51:52,  Orchard Central  ,TOP-W-04,Women's Heattech Crew Neck Long Sleeve Tee,Tops,Women,14.9,14.9,False,1,14.9,Card
ORC-20260603-0499,2,2026-06-03 20:04:17,orchard central,SOK-W-02,Women's Pile Crew Socks,Socks,Women,5.9,5.9,False,1,5.9,Card
ORC-20260603-0655,1,2026-06-03 20:55:37,Orchard Central,UND-M-01,Men's Airism Boxer Briefs,Underwear,Men,14.9,14.9,False,1,14.9,Card
PUN-20260603-0332,2,2026-06-03 12:24:55,Punggol,SOK-M-04,Men's Ribbed Crew Socks,Socks,Men,5.9,5.9,False,1,5.9,
